date,TOTAL_MWh,NG_MWh
2019-06-10,1120338.0,599988.0
2019-06-11,1039546.0,548374.0
2019-06-12,1088057.0,578488.0
2019-06-13,1135819.0,581709.0
2019-06-14,1173596.0,435709.0
2019-06-15,1214481.0,496524.0
2019-06-16,1082316.0,529680.0
2019-06-17,1104312.0,613729.0
2019-06-18,1215113.0,652590.0
2019-06-19,1290826.0,726720.0
2019-06-20,1306591.0,656413.0
2019-06-21,1349454.0,564344.0
2019-06-22,1254123.0,521565.0
2019-06-23,1248925.0,565736.0
2019-06-24,1131377.0,581694.0
2019-06-25,1130557.0,571672.0
2019-06-26,1162663.0,551801.0
2019-06-27,1189965.0,588739.0
2019-06-28,1216066.0,644166.0
2019-06-29,1159433.0,650575.0
2019-06-30,1074703.0,578091.0
2019-07-01,1205641.0,609464.0
2019-07-02,1226927.0,610436.0
2019-07-03,1189069.0,560568.0
2019-07-04,1182273.0,542615.0
2019-07-05,1259048.0,619176.0
2019-07-06,1217375.0,682116.0
2019-07-07,1220163.0,718940.0
2019-07-08,1280612.0,709853.0
2019-07-09,1318159.0,723125.0
2019-07-10,1335847.0,788612.0
2019-07-11,1291835.0,812877.0
2019-07-12,1287780.0,820800.0
2019-07-13,1223219.0,751446.0
2019-07-14,1191644.0,711449.0
2019-07-15,1287812.0,767083.0
2019-07-16,1362009.0,702484.0
2019-07-17,1361862.0,632788.0
2019-07-18,1360710.0,601184.0
2019-07-19,1357011.0,594536.0
2019-07-20,1316204.0,586864.0
2019-07-21,1276869.0,650422.0
2019-07-22,1290218.0,688179.0
2019-07-23,1199869.0,676124.0
2019-07-24,1147972.0,670473.0
2019-07-25,1126967.0,587958.0
2019-07-26,1161932.0,600939.0
2019-07-27,1201847.0,601780.0
2019-07-28,1240190.0,579381.0
2019-07-29,1307605.0,706493.0
2019-07-30,1332406.0,792695.0
2019-07-31,1321053.0,779328.0
2019-08-01,1320028.0,748612.0
2019-08-02,1329327.0,767108.0
2019-08-03,1228190.0,701612.0
2019-08-04,1212271.0,751726.0
2019-08-05,1335453.0,834861.0
2019-08-06,1376206.0,828123.0
2019-08-07,1404782.0,791198.0
2019-08-08,1400497.0,767026.0
2019-08-09,1410045.0,803166.0
2019-08-10,1371920.0,766013.0
2019-08-11,1363145.0,745187.0
2019-08-12,1437398.0,823645.0
2019-08-13,1439516.0,858545.0
2019-08-14,1377894.0,847702.0
2019-08-15,1355693.0,850240.0
2019-08-16,1392277.0,790131.0
2019-08-17,1372216.0,720318.0
2019-08-18,1366237.0,709793.0
2019-08-19,1425553.0,800772.0
2019-08-20,1394995.0,821284.0
2019-08-21,1375448.0,813068.0
2019-08-22,1364540.0,824019.0
2019-08-23,1306325.0,768614.0
2019-08-24,1240216.0,749457.0
2019-08-25,1260228.0,705211.0
2019-08-26,1429016.0,756961.0
2019-08-27,1296634.0,683361.0
2019-08-28,1284696.0,776796.0
2019-08-29,1328097.0,736117.0
2019-08-30,1269889.0,691833.0
2019-08-31,1161640.0,694584.0
2019-09-01,1192742.0,749929.0
2019-09-02,1231464.0,773150.0
2019-09-03,1282160.0,774034.0
2019-09-04,1302125.0,773376.0
2019-09-05,1279762.0,785797.0
2019-09-06,1297647.0,818573.0
2019-09-07,1272433.0,737205.0
2019-09-08,1249108.0,601078.0
2019-09-09,1284394.0,620150.0
2019-09-10,1267051.0,592684.0
2019-09-11,1225976.0,559662.0
2019-09-12,1244651.0,637262.0
2019-09-13,1239300.0,722266.0
2019-09-14,1198548.0,682538.0
2019-09-15,1198161.0,676962.0
2019-09-16,1243916.0,692819.0
2019-09-17,1197372.0,653862.0
2019-09-18,1219780.0,676148.0
2019-09-19,1162958.0,605417.0
2019-09-20,1213480.0,575380.0
